Audi;A4;must met.;esivedu;automaat;01/2003;diisel;2.5 TDI (120 kW);343 000 km;1600 EUR;1200 EUR;https://www.auto24.ee/used/3358627
Audi;A4;tumesinine;esivedu;manuaal;03/1999;diisel;2.5 TDI V6 (110 kW);344 188 km;1550 EUR;1200 EUR;https://www.auto24.ee/used/3351179
Audi;A4;roheline;esivedu;manuaal (5-käiku);02/1998;diisel;1.9 R4 TDI (81 kW);293 000 km;1300 EUR;1200 EUR;https://www.auto24.ee/used/3356306
Audi;A6;heleroheline;nelikvedu;automaat;02/1999;diisel;2.5 (110 kW);350 000 km;1200 EUR;;https://www.auto24.ee/used/3359048
Audi;A6;hall met.;nelikvedu;automaat (Tiptronic);10/2001;diisel;2.5 (132 kW);353 127 km;1600 EUR;1200 EUR;https://www.auto24.ee/used/3352991
Audi;A4;hall;esivedu;manuaal;01/1999;bensiin;1.8 (92 kW);242 000 km;1250 EUR;;https://www.auto24.ee/used/3340719
Audi;A4;beež met.;esivedu;automaat;2001;bensiin;1.8 V 6 (92 kW);214 869 km;1800 EUR;1290 EUR;https://www.auto24.ee/used/3358812
Audi;90;sinine;esivedu;manuaal;1985;bensiin;2.0 JP R5 (85 kW);275 000 km ·;1749 EUR;1299 EUR;https://www.auto24.ee/used/3335456
Audi;90;valge;nelikvedu;manuaal;1990;bensiin;2.3 R5 (100 kW);;1300 EUR;;https://www.auto24.ee/used/3342828
Audi;A4;valge;esivedu;manuaal;06/1999;bensiin;1.6 (74 kW);219 000 km;1600 EUR;1300 EUR;https://www.auto24.ee/used/3361638
Audi;A4;sinine;esivedu;automaat;03/2004;bensiin;1.8 (120 kW);284 678 km;1500 EUR;1300 EUR;https://www.auto24.ee/used/3352265
Audi;A4;tumepunane met.;esivedu;manuaal;01/2002;diisel;1.9 TDI R4 (74 kW);345 000 km;1600 EUR;1300 EUR;https://www.auto24.ee/used/3355547
Audi;A6;roheline;esivedu;manuaal;07/1998;diisel;1.9 (81 kW);428 000 km;1300 EUR;;https://www.auto24.ee/used/3360499
Audi;A6;tumehall met.;esivedu;manuaal;12/2001;bensiin;2.4 (125 kW);302 000 km;1300 EUR;;https://www.auto24.ee/used/2794469
