BMW;730;sinine met. (TOLEDOBLAU METALLIC (482));tagavedu;automaat (Tiptronic);10/2003;diisel;3.0 (160 kW);264 777 km;4400 EUR;2499 EUR;https://www.auto24.ee/used/3044254
BMW;318;must;tagavedu;automaat;02/2005;diisel;2.0 (85 kW);280 000 km;2500 EUR;;https://www.auto24.ee/used/3009689
BMW;320;;tagavedu;automaat;07/2003;diisel;2.0 (110 kW);;3000 EUR;2500 EUR;https://www.auto24.ee/used/3038473
BMW;320;must;tagavedu;automaat;11/2002;diisel;2.0 (110 kW);264 700 km;2500 EUR;;https://www.auto24.ee/used/2956372
BMW;320;tumesinine met.;tagavedu;automaat (Tiptronic);03/2005;bensiin;2.2 R6 (125 kW);242 000 km;2995 EUR;2500 EUR;https://www.auto24.ee/used/3009071
BMW;525;hall;tagavedu;automaat;08/2002;bensiin;2.5 (141 kW);251 490 km ·;2500 EUR;;https://www.auto24.ee/used/3059085
BMW;525;must;tagavedu;automaat (Tiptronic);12/2002;diisel;2.5 R6 (120 kW);320 000 km;2700 EUR;2500 EUR;https://www.auto24.ee/used/2951070
BMW;525;tumesinine met.;tagavedu;manuaal;04/2001;bensiin;2.5 R6 24V (141 kW);249 775 km;3000 EUR;2500 EUR;https://www.auto24.ee/used/3032597
BMW;528;pruun met.;tagavedu;manuaal;07/1996;bensiin;2.8 (142 kW);260 000 km;3000 EUR;2500 EUR;https://www.auto24.ee/used/3039107
BMW;530;hõbedane;tagavedu;automaat;11/2002;diisel;2.9 (142 kW);;3000 EUR;2500 EUR;https://www.auto24.ee/used/2790766
BMW;540;hõbedane met.;tagavedu;automaat;08/1996;bensiin;4.4 (210 kW);;2500 EUR;;https://www.auto24.ee/used/3062499
BMW;330;punane met.;tagavedu;manuaal;01/2001;diisel;2.9 R6 (135 kW);334 000 km;3100 EUR;2550 EUR;https://www.auto24.ee/used/3032581
BMW;320;must met.;tagavedu;automaat;04/2003;diisel;2.0 (110 kW);;3000 EUR;2590 EUR;https://www.auto24.ee/used/3046502
BMW;330;must;tagavedu;automaat;06/2002;diisel;2.9 (135 kW);360 000 km;2700 EUR;2599 EUR;https://www.auto24.ee/used/3053077
BMW;320;hall met.;tagavedu;manuaal;05/2001;bensiin;2.2 (125 kW);253 000 km;2600 EUR;;https://www.auto24.ee/used/3041754
BMW;530;must;tagavedu;manuaal;12/2002;diisel;2.9 (142 kW);322 000 km;2800 EUR;2600 EUR;https://www.auto24.ee/used/3060876
BMW;320;hõbedane met.;tagavedu;automaat;10/2000;diisel;2.0 R4 (100 kW);259 054 km ·;2999 EUR;2699 EUR;https://www.auto24.ee/used/2924794
BMW;330;helehall met.;tagavedu;automaat;02/2002;diisel;2.9 (135 kW);314 000 km ·;2700 EUR;;https://www.auto24.ee/used/3063127
BMW;330;tumesinine met.;nelikvedu;automaat;01/2002;diisel;3.0 (135 kW);265 000 km ·;2990 EUR;2700 EUR;https://www.auto24.ee/used/2860913
BMW;530;tumeroheline;tagavedu;;08/2000;diisel;3.0 (142 kW);363 000 km;2700 EUR;;https://www.auto24.ee/used/3063024
BMW;530;hõbedane;tagavedu;automaat;10/2002;diisel;2.9 TDi (142 kW);375 299 km;3000 EUR;2700 EUR;https://www.auto24.ee/used/3012012
BMW;530;must met.;tagavedu;automaat;05/2001;diisel;3.0 D (142 kW);312 000 km ·;2700 EUR;;https://www.auto24.ee/used/3063130
BMW;735;must (37258536020);tagavedu;automaat;06/2002;bensiin;3.6 +37258536020 (200 kW);;3000 EUR;2700 EUR;https://www.auto24.ee/used/3063988
BMW;320;must;tagavedu;manuaal;01/2000;bensiin;2.0 (110 kW);216 300 km;3000 EUR;2750 EUR;https://www.auto24.ee/used/3030474
BMW;530;must;tagavedu;automaat;11/2001;diisel;2.9 (142 kW);286 893 km ·;2999 EUR;2799 EUR;https://www.auto24.ee/used/3060157
BMW;320;must;tagavedu;automaat;09/2002;diisel;2.0 204D4 (110 kW);;3000 EUR;2800 EUR;https://www.auto24.ee/used/2940421
BMW;320;punane;tagavedu;manuaal;03/2002;diisel;2.0 (110 kW);340 000 km;2800 EUR;;https://www.auto24.ee/used/3045539
BMW;324;roheline;tagavedu;;1991;diisel;2.4 (85 kW);354 814 km;2800 EUR;;https://www.auto24.ee/used/3063106
BMW;530;hall (TITANGRAU METALLIC 892);tagavedu;automaat;07/2003;diisel;3.0 (142 kW);327 800 km;2900 EUR;2800 EUR;https://www.auto24.ee/used/3062570
BMW;530;sinine;tagavedu;automaat;03/2002;bensiin;3.0 M54 (170 kW);267 000 km;2800 EUR;;https://www.auto24.ee/used/2921336
BMW;530;must met.;tagavedu;manuaal;07/2002;diisel;2.9 (142 kW);;3200 EUR;2850 EUR;https://www.auto24.ee/used/3061788
BMW;523;tumeroheline met. (Oxfordgruen);tagavedu;automaat;06/1998;bensiin;2.5 R6 (125 kW);220 300 km ·;3490 EUR;2890 EUR;https://www.auto24.ee/used/2948554
BMW;118;punane met.;tagavedu;manuaal;11/2004;diisel;2.0 D (90 kW);175 000 km;2899 EUR;;https://www.auto24.ee/used/3041105
BMW;525;hall met.;tagavedu;manuaal;08/2004;diisel;2.5 D (130 kW);289 000 km;2899 EUR;;https://www.auto24.ee/used/3047321
BMW;316;hõbedane met.;tagavedu;manuaal;08/2004;bensiin;1.8 (85 kW);240 000 km;2900 EUR;;https://www.auto24.ee/used/3058143
BMW;320;must met.;tagavedu;manuaal (6 KÄIKU);08/2004;diisel;2.0 TD (110 kW);271 000 km ·;2900 EUR;;https://www.auto24.ee/used/3061105
BMW;328;hall met. (Arktissilber Metallic);tagavedu;manuaal;08/1996;bensiin;2.8 R6 (142 kW);297 000 km;3900 EUR;2900 EUR;https://www.auto24.ee/used/2857799
BMW;525;helesinine met.;tagavedu;automaat (Tiptronic );06/2002;diisel;2.5 R6 (120 kW);369 652 km ·;3400 EUR;2900 EUR;https://www.auto24.ee/used/3052980
BMW;530;must;tagavedu;automaat;05/2002;diisel;2.9 (142 kW);;2900 EUR;;https://www.auto24.ee/used/3051408
BMW;530;sinine met.;tagavedu;automaat;03/2001;diisel;3.0 (142 kW);262 000 km;3200 EUR;2900 EUR;https://www.auto24.ee/used/2967129
BMW;316;helesinine met.;tagavedu;automaat;09/2002;bensiin;1.8 (85 kW);118 000 km ·;2990 EUR;;https://www.auto24.ee/used/3059172
BMW;318;must met.;tagavedu;manuaal;06/2003;diisel;2.0 (85 kW);178 000 km ·;2990 EUR;;https://www.auto24.ee/used/3059198
BMW;318;tumesinine met. (MONTREALBLAU METALLIC);tagavedu;manuaal;04/1997;bensiin;1.8 R4 (85 kW);219 000 km ·;3790 EUR;2990 EUR;https://www.auto24.ee/used/3056247
BMW;320;punane met.;tagavedu;manuaal;06/2001;diisel;2.0 (100 kW);132 000 km ·;2990 EUR;;https://www.auto24.ee/used/3059242
BMW;320;tumesinine met.;tagavedu;automaat;02/2005;diisel;2.0 (110 kW);290 000 km ·;3600 EUR;2990 EUR;https://www.auto24.ee/used/3028840
