Audi;A3;hall met.;esivedu;manuaal;11/1999;diisel;1.9 R4 (66 kW);330 000 km ·;1850 EUR;;https://www.auto24.ee/used/3402262
Audi;A8;pruun;nelikvedu;automaat;11/1997;bensiin;3.7 (169 kW);;1888 EUR;;https://www.auto24.ee/used/3403754
Audi;A8;tumeroheline met.;nelikvedu;automaat (Tiptronic QUATTRO(4x4));01/1999;diisel;2.5 V6 TDi ATM (110 kW);298 890 km;2750 EUR;1899 EUR;https://www.auto24.ee/used/3400776
Audi;A4;sinine;esivedu;manuaal;06/2003;bensiin;2.0 (96 kW);205 360 km;2000 EUR;1900 EUR;https://www.auto24.ee/used/3397965
Audi;A2;must;esivedu;manuaal;12/2002;bensiin;1.4 (55 kW);109 440 km ·;1950 EUR;;https://www.auto24.ee/used/3353961
Audi;A2;tumesinine met.;esivedu;manuaal;04/2001;diisel;1.4 TDI (55 kW);203 000 km ·;1990 EUR;;https://www.auto24.ee/used/3402098
Audi;A4;hõbedane met.;esivedu;automaat;10/1999;bensiin;2.4 (121 kW);202 000 km ·;1990 EUR;;https://www.auto24.ee/used/3402126
Audi;A2;tumesinine;esivedu;manuaal;03/2001;bensiin;1.4 (55 kW);183 000 km;;1999 EUR;https://www.auto24.ee/used/3401737
Audi;A3;must;esivedu;manuaal;04/2004;diisel;2.0 (103 kW);218 000 km;1999 EUR;;https://www.auto24.ee/used/3205112
Audi;A6;beež met.;esivedu;automaat (6 KÄIKKU);04/2003;diisel;1.9 TDI (96 kW);318 400 km;3200 EUR;1999 EUR;https://www.auto24.ee/used/3393257
Audi;100;valge;esivedu;automaat;1988;bensiin;2.0 R5 (85 kW);299 986 km;2000 EUR;;https://www.auto24.ee/used/3393045
Audi;A3;must;esivedu;manuaal;09/2003;diisel;2.0 (140 kW);310 000 km;2000 EUR;;https://www.auto24.ee/used/3082450
